,date,s&p_open,s&p_high,s&p_low,s&p_close,s&p_adj,s&p_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_adj,nasdaq_volume,bitcoin_open,bitcoin_high,bitcoin_low,bitcoin_close,bitcoin_adj,bitcoin_volume,apple_open,apple_high,apple_low,apple_close,apple_adj,apple_volume,tesla_open,tesla_high,tesla_low,tesla_close,tesla_adj,tesla_volume,amazon_open,amazon_high,amazon_low,amazon_close,amazon_adj,amazon_volume,invdia_open,invdia_high,invdia_low,invdia_close,invdia_adj,invdia_volume
0,"May 28, 2021","4,210.77","4,218.36","4,203.57","4,204.11","4,204.11","4,199,270,000","13,792.05","13,820.87","13,747.61","13,748.74","13,748.74","4,435,220,000","38,507.08","38,856.97","34,779.04","35,697.61","35,697.61","55,200,191,952",125.57,125.80,124.55,124.61,124.61,"71,311,100",628.50,635.59,622.38,625.22,625.22,"22,737,000","3,242.00","3,247.99","3,219.70","3,223.07","3,223.07","2,329,800",620.04,651.10,620.04,649.78,649.63,"16,113,400"
1,"May 27, 2021","4,201.94","4,213.38","4,197.78","4,200.88","4,200.88","5,201,110,000","13,742.59","13,776.52","13,701.63","13,736.28","13,736.28","5,057,550,000","39,316.89","40,379.62","37,247.90","38,436.97","38,436.97","43,210,968,721",126.44,127.64,125.08,125.28,125.28,"94,625,600",620.24,631.13,616.21,630.85,630.85,"26,370,600","3,256.00","3,260.36","3,230.04","3,230.11","3,230.11","2,561,200",627.99,630.00,618.40,619.52,619.38,"14,536,900"
2,"May 26, 2021","4,191.59","4,202.61","4,184.11","4,195.99","4,195.99","3,674,490,000","13,693.94","13,750.16","13,679.59","13,738.00","13,738.00","4,231,140,000","38,392.63","40,782.08","37,905.84","39,294.20","39,294.20","51,346,735,160",126.96,127.39,126.42,126.85,126.85,"56,575,900",607.56,626.17,601.50,619.13,619.13,"28,639,300","3,274.59","3,295.73","3,258.51","3,265.16","3,265.16","2,384,000",629.37,631.75,623.45,628.00,627.86,"9,261,000"
3,"May 25, 2021","4,205.94","4,213.42","4,182.52","4,188.13","4,188.13","3,420,870,000","13,721.54","13,751.14","13,631.80","13,657.17","13,657.17","4,084,480,000","38,795.78","39,776.35","36,581.43","38,402.22","38,402.22","56,211,915,803",127.82,128.32,126.32,126.90,126.90,"72,009,500",607.31,613.99,595.71,604.69,604.69,"28,005,900","3,266.67","3,279.82","3,213.76","3,259.05","3,259.05","3,261,100",630.64,632.74,619.30,625.91,625.77,"10,885,200"
4,"May 24, 2021","4,170.16","4,209.52","4,170.16","4,197.05","4,197.05","2,947,400,000","13,557.21","13,708.85","13,551.01","13,661.17","13,661.17","3,490,650,000","34,700.36","39,835.14","34,551.08","38,705.98","38,705.98","67,359,584,098",126.01,127.94,125.94,127.10,127.10,"63,092,900",581.60,614.48,573.65,606.44,606.44,"34,558,100","3,215.50","3,257.95","3,210.50","3,244.99","3,244.99","2,422,800",608.50,629.80,607.04,624.48,624.34,"13,870,400"
5,"May 21, 2021","4,168.61","4,188.72","4,151.72","4,155.86","4,155.86","3,344,620,000","13,616.19","13,616.58","13,463.26","13,470.99","13,470.99","3,704,590,000","40,596.95","42,172.17","33,616.45","37,304.69","37,304.69","82,051,616,861",127.82,128.00,125.21,125.43,125.43,"79,295,400",596.11,596.68,580.00,580.88,580.88,"26,030,600","3,250.00","3,256.69","3,197.01","3,203.08","3,203.08","4,104,900",606.55,608.88,594.78,599.67,599.53,"16,824,800"
6,"May 20, 2021","4,121.97","4,172.80","4,121.97","4,159.12","4,159.12","3,019,060,000","13,356.63","13,563.52","13,355.71","13,535.74","13,535.74","3,972,730,000","36,753.67","42,462.98","35,050.62","40,782.74","40,782.74","88,281,943,359",125.23,127.72,125.10,127.31,127.31,"76,857,100",575.00,588.85,571.07,586.78,586.78,"30,821,100","3,244.40","3,259.68","3,236.18","3,247.68","3,247.68","2,633,200",572.10,587.35,570.82,584.50,584.37,"8,039,800"
7,"May 19, 2021","4,098.45","4,116.93","4,061.41","4,115.68","4,115.68","3,485,550,000","13,078.19","13,304.61","13,072.23","13,299.74","13,299.74","4,314,980,000","42,944.98","43,546.12","30,681.50","37,002.44","37,002.44","126,358,098,747",123.16,124.92,122.86,124.69,124.69,"92,612,000",552.55,566.21,546.98,563.46,563.46,"39,578,400","3,195.00","3,234.75","3,184.00","3,231.80","3,231.80","2,679,700",542.66,563.18,541.73,562.63,562.50,"8,600,000"
8,"May 18, 2021","4,165.94","4,169.15","4,125.99","4,127.83","4,127.83","3,559,790,000","13,416.90","13,485.34","13,299.93","13,303.64","13,303.64","4,283,680,000","43,488.06","45,812.46","42,367.83","42,909.40","42,909.40","56,187,365,084",126.56,126.99,124.78,124.85,124.85,"63,342,900",568.00,596.25,563.38,577.87,577.87,"36,830,600","3,292.58","3,312.00","3,230.37","3,232.28","3,232.28","2,828,400",570.68,576.17,560.16,560.63,560.50,"4,656,400"
9,"May 17, 2021","4,169.92","4,171.92","4,142.69","4,163.29","4,163.29","3,307,130,000","13,368.80","13,399.17","13,265.40","13,379.05","13,379.05","3,980,630,000","46,415.90","46,623.56","42,207.29","43,537.51","43,537.51","74,903,638,450",126.82,126.93,125.17,126.27,126.27,"74,244,600",575.55,589.73,561.20,576.83,576.83,"32,390,400","3,245.93","3,292.75","3,234.59","3,270.39","3,270.39","3,723,900",566.28,566.77,554.14,566.62,566.49,"5,424,500"
